,2014 Estimate,2010 Census,CITY
0,1968,1911,Afton
1,185,181,Albin
2,845,828,Alpine
3,439,440,Baggs
4,107,106,Bairoil
5,2735,2213,Bar Nunn
6,1312,1285,Basin
7,521,518,Bear River
8,538,552,Big Piney
9,4615,4585,Buffalo
10,332,288,Burlington
11,305,301,Burns
12,609,593,Byron
13,40086,35316,Casper
14,62845,59466,Cheyenne
15,216,212,Chugwater
16,142,142,Clearmont
17,9740,9520,Cody
18,542,535,Cokeville
19,718,655,Cowley
20,794,757,Dayton
21,184,178,Deaver
22,740,737,Diamondville
23,97,97,Dixon
24,6423,6120,Douglas
25,998,971,Dubois
26,252,254,East Thermopolis
27,199,195,Edgerton
28,196,191,Elk Mountain
29,12190,12359,Evanston
30,2831,2544,Evansville
31,227,230,Fort Laramie
32,162,157,Frannie
33,31971,29087,Gillette
34,201,205,Glendo
35,2583,2576,Glenrock
36,443,450,Grand Encampment
37,139,139,Granger
38,12630,12515,Green River
39,1868,1847,Greybull
40,1193,1147,Guernsey
41,831,841,Hanna
42,62,62,Hartville
43,462,458,Hudson
44,400,383,Hulett
45,10449,9577,Jackson
46,260,263,Kaycee
47,2732,2656,Kemmerer
48,93,92,Kirby
49,553,551,La Barge
50,455,448,La Grange
51,7642,7487,Lander
52,32081,30816,Laramie
53,467,468,Lingle
54,4,4,Lost Springs
55,2404,2360,Lovell
56,1578,1567,Lusk
57,2077,2115,Lyman
58,117,114,Manderson
59,93,95,Manville
60,1114,1094,Marbleton
61,277,284,Medicine Bow
62,327,327,Meeteetse
63,412,404,Midwest
64,3690,3461,Mills
65,1036,1009,Moorcroft
66,1304,1286,Mountain View
67,3513,3532,Newcastle
68,99,96,Opal
69,240,231,Pavillion
70,1146,1129,Pine Bluffs
71,498,490,Pine Haven
72,1958,2030,Pinedale
73,6407,6314,Powell
74,943,855,Ranchester
75,9227,9259,Rawlins
76,53,52,Riverside
77,10953,10615,Riverton
78,245,245,Rock River
79,24045,23036,Rock Springs
80,439,440,Rolling Hills
81,1692,1690,Saratoga
82,17916,17444,Sheridan
83,655,649,Shoshoni
84,424,433,Sinclair
85,1541,1503,Star Valley Ranch
86,1239,1182,Sundance
87,332,336,Superior
88,253,260,Ten Sleep
89,364,366,Thayne
90,3020,3009,Thermopolis
91,6736,6501,Torrington
92,1104,1100,Upton
93,15,15,Van Tassell
94,503,451,Wamsutter
95,3659,3627,Wheatland
96,5366,5487,Worland
97,1847,1807,Wright
98,161,151,Yoder
